date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:28:46	27146/27146	---M--	200	added ('OK')	image/png	etag:%225c9d29df-6a0a%22	https://tony-jin.com/assets/portfolio-THD-thumbnail-web.png	C:/My%20Web%20Sites/Tony%20Website/tony-jin.com/assets/portfolio-THD-thumbnail-web.png	(from https://tony-jin.com/html/home.html)
10:28:46	27339/27339	---M-Z	200	added ('OK')	text/html	etag:W/%225c9d29e0-6acb%22	https://tony-jin.com/html/works/cook-fresh.html	C:/My%20Web%20Sites/Tony%20Website/tony-jin.com/html/works/cook-fresh.html	(from https://tony-jin.com/html/home.html)
10:28:46	60873/60873	---M--	200	added ('OK')	image/png	etag:%225c9d29df-edc9%22	https://tony-jin.com/assets/portfolio-CookFresh-thumbnail.png	C:/My%20Web%20Sites/Tony%20Website/tony-jin.com/assets/portfolio-CookFresh-thumbnail.png	(from https://tony-jin.com/html/home.html)
10:28:46	38829/38829	---M-Z	200	added ('OK')	text/html	etag:W/%225c9d29e0-97ad%22	https://tony-jin.com/html/works/up-up.html	C:/My%20Web%20Sites/Tony%20Website/tony-jin.com/html/works/up-up.html	(from https://tony-jin.com/html/home.html)
10:28:47	96014/96014	---M--	200	added ('OK')	image/png	etag:%225c9d29e0-1770e%22	https://tony-jin.com/assets/portfolio-up-thumbnail.png	C:/My%20Web%20Sites/Tony%20Website/tony-jin.com/assets/portfolio-up-thumbnail.png	(from https://tony-jin.com/html/home.html)
10:28:47	45648/45648	---M-Z	200	added ('OK')	text/html	etag:W/%225c9d29e0-b250%22	https://tony-jin.com/html/works/rei-backpack.html	C:/My%20Web%20Sites/Tony%20Website/tony-jin.com/html/works/rei-backpack.html	(from https://tony-jin.com/html/home.html)
10:28:47	47137/47137	---M--	200	added ('OK')	image/png	etag:%225c9d29df-b821%22	https://tony-jin.com/assets/portfolio-REI-thumbnail.png	C:/My%20Web%20Sites/Tony%20Website/tony-jin.com/assets/portfolio-REI-thumbnail.png	(from https://tony-jin.com/html/home.html)
10:28:47	14539/14539	---M-Z	200	added ('OK')	text/html	etag:W/%225c9d29e0-38cb%22	https://tony-jin.com/html/works/thriller.html	C:/My%20Web%20Sites/Tony%20Website/tony-jin.com/html/works/thriller.html	(from https://tony-jin.com/html/home.html)
10:28:48	121350/121350	---M--	200	added ('OK')	image/png	etag:%225c9d29e0-1da06%22	https://tony-jin.com/assets/portfolio-thriller-thumbnail.png	C:/My%20Web%20Sites/Tony%20Website/tony-jin.com/assets/portfolio-thriller-thumbnail.png	(from https://tony-jin.com/html/home.html)
10:28:48	463726/463726	---M--	200	added ('OK')	image/jpeg	etag:%225c9d29df-7136e%22	https://tony-jin.com/assets/THD-jumbotron.jpg	C:/My%20Web%20Sites/Tony%20Website/tony-jin.com/assets/THD-jumbotron.jpg	(from https://tony-jin.com/css/style.css)
10:28:48	1177446/1177446	---M--	200	added ('OK')	image/jpeg	etag:%225c9d29df-11f766%22	https://tony-jin.com/assets/eatxplore-jumbotron.jpg	C:/My%20Web%20Sites/Tony%20Website/tony-jin.com/assets/eatxplore-jumbotron.jpg	(from https://tony-jin.com/css/style.css)
10:28:48	102349/102349	---M--	200	added ('OK')	image/jpeg	etag:%225c9d29e0-18fcd%22	https://tony-jin.com/assets/walker-jumbotron.jpg	C:/My%20Web%20Sites/Tony%20Website/tony-jin.com/assets/walker-jumbotron.jpg	(from https://tony-jin.com/css/style.css)
10:28:48	237306/237306	---M--	200	added ('OK')	image/jpeg	etag:%225c9d29e0-39efa%22	https://tony-jin.com/assets/up-jumbotron.jpg	C:/My%20Web%20Sites/Tony%20Website/tony-jin.com/assets/up-jumbotron.jpg	(from https://tony-jin.com/css/style.css)
10:28:49	120101/120101	---M--	200	added ('OK')	image/jpeg	etag:%225c9d29df-1d525%22	https://tony-jin.com/assets/REI-jumbotron.jpg	C:/My%20Web%20Sites/Tony%20Website/tony-jin.com/assets/REI-jumbotron.jpg	(from https://tony-jin.com/css/style.css)
10:28:49	487275/487275	---M--	200	added ('OK')	image/jpeg	etag:%225c9d29df-76f6b%22	https://tony-jin.com/assets/cookfresh-jumbotron.jpg	C:/My%20Web%20Sites/Tony%20Website/tony-jin.com/assets/cookfresh-jumbotron.jpg	(from https://tony-jin.com/css/style.css)
